version,codigo_ente,codigo,componente,porcentaje_participacion,porcentaje_voto,fuente_alta,inf_fuente_alta,alta_desde
2019/01 situacion a  01/01/2019,13-30-001-C-C-000,00-00-000-E-E-001,Otras entidades de caracter local,"49,00","49,00",ACTA,de constitución de 30/06/1992,30/06/1992
2019/01 situacion a  01/01/2019,13-30-001-C-C-000,13-00-000-B-B-000,Comunidad Autónoma de la Región de Murcia,"51,00","51,00",ACTA,de constitución de 30/06/1992,30/06/1992
2019/01 situacion a  01/01/2019,13-30-002-C-C-000,00-00-000-E-E-001,Otras entidades de caracter local,"75,00","75,00",ACTA,"de sesión constituyente, de 30/11/1994",30/11/1994
2019/01 situacion a  01/01/2019,13-30-002-C-C-000,13-00-000-B-B-000,Comunidad Autónoma de la Región de Murcia,"25,00","25,00",ACTA,"de sesión constituyente, de 30/11/1994",30/11/1994
2019/01 situacion a  01/01/2019,13-30-005-C-C-000,00-00-000-F-F-000,"Privado (Cámara de comercio, ind. y navegación Cartagena)","3,87","15,00",ESCRITURA,"Nº 1.709, de 11/06/1993",11/06/1993
2019/01 situacion a  01/01/2019,13-30-005-C-C-000,00-00-000-S-S-000,Estado,"37,96","33,00",ESCRITURA,"Nº 1.709, de 11/06/1993",11/06/1993
2019/01 situacion a  01/01/2019,13-30-005-C-C-000,13-00-000-B-U-002,Instituto de Fomento de la Región de Murcia (INFO),"49,79","37,00",ESCRITURA,"Nº 1.709, de 11/06/1993",11/06/1993
2019/01 situacion a  01/01/2019,13-30-005-C-C-000,13-30-016-A-A-000,Cartagena,"8,38","15,00",ESCRITURA,"Nº 1.709, de 11/06/1993",11/06/1993
2019/01 situacion a  01/01/2019,13-30-012-C-C-000,00-00-000-E-E-001,Otras entidades de caracter local,"68,18","68,18",CONVENIO,colaboración de 04/03/2003 BORM nº 66 de 21/03/03,04/03/2003
2019/01 situacion a  01/01/2019,13-30-012-C-C-000,13-00-000-B-B-000,Comunidad Autónoma de la Región de Murcia,"31,82","31,82",CONVENIO,colaboración de 04/03/2003 BORM nº 66 de 21/03/03,04/03/2003
2019/01 situacion a  01/01/2019,13-30-020-C-C-000,00-00-000-F-F-000,Privado,"5,96","40,00",CONVENIO,de colaboración de 23/10/1989,23/10/1989
2019/01 situacion a  01/01/2019,13-30-020-C-C-000,00-00-000-S-S-000,Estado,"45,35","40,00",CONVENIO,de colaboración de 23/10/1989,23/10/1989
2019/01 situacion a  01/01/2019,13-30-020-C-C-000,13-00-000-B-B-000,Comunidad Autónoma de la Región de Murcia,"31,94","10,00",CONVENIO,de colaboración de 23/10/1989,23/10/1989
2019/01 situacion a  01/01/2019,13-30-020-C-C-000,13-30-016-A-A-000,Cartagena,"16,75","10,00",CONVENIO,de colaboración de 23/10/1989,23/10/1989
2019/01 situacion a  01/01/2019,13-30-023-C-C-000,13-00-000-B-B-000,Comunidad Autónoma de la Región de Murcia,"0,00","50,00",CONVENIO,Colaboración de 03/12/04 BORM nº 297 de 24/12/04,03/12/2004
2019/01 situacion a  01/01/2019,13-30-023-C-C-000,13-30-003-A-A-000,Águilas,"0,00","30,00",CONVENIO,Colaboración de 03/12/04 BORM nº 297 de 24/12/04,03/12/2004
2019/01 situacion a  01/01/2019,13-30-023-C-C-000,13-30-024-A-A-000,Lorca,"0,00","20,00",CONVENIO,Colaboración de 03/12/04 BORM nº 297 de 24/12/04,03/12/2004
