version,codigo_ente,codigo,actividad,fuente_alta,inf_fuente_alta,alta_desde
2019/01 situacion a  01/01/2019,15-00-000-B-P-014,M72,Investigación y desarrollo,ESTATUTOS,"de compra-venta 03/06/1988 (Dec.132/1988, 24/05)",03/06/1988
2019/01 situacion a  01/01/2019,15-00-000-X-P-115,F4212,Construcción de vías férreas de superficie y subterráneas,ESTATUTOS,"Esc.de const. de 16/12/2010 (Dec. 273/2010,26/10)",08/02/2011
2019/01 situacion a  01/01/2019,15-00-015-H-H-000,M7120,Ensayos y análisis técnicos,ESTATUTOS,Esc. constitución de 15/12/1994 (R.F. 25/09/1995),25/09/1995
2019/01 situacion a  01/01/2019,15-00-000-X-P-041,J5914,Actividades de exhibición cinematográfica,ESTATUTOS,"Esc. const. de 20/12/1990 (Dec.235/1990, de 11-09)",16/03/1991
2019/01 situacion a  01/01/2019,15-00-000-X-P-102,H5223,Actividades anexas al transporte aéreo,ESTATUTOS,"Esc.const. de 03/10/2001 (Decreto 162/2001, 30-7)",24/10/2001
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,J6020,Actividades de programación y emisión de televisión,ESTATUTOS,"Escr.de const. de 04/11/1982 (Dec. 157/1982, 19-7)",04/11/1982
2019/01 situacion a  01/01/2019,15-00-000-B-P-006,O8413,Regulación de la actividad económica y contribución a su mayor eficiencia,ESCRITURA,"de const. de 21/09/1981 (Ley 5/1981, 10-6)",21/09/1981
2019/01 situacion a  01/01/2019,15-00-000-B-P-091,F4110,Promoción inmobiliaria,ESTATUTOS,"Esc.de const. de 19/12/2000 (Dec. 126/2000, 04-07)",08/02/2001
2019/01 situacion a  01/01/2019,15-00-000-B-P-112,F4110,Promoción inmobiliaria,ESCRITURA,"Esc. de const. de 26/12/1985 (Dec. 373/1985, 10/12",26/12/1985
2019/01 situacion a  01/01/2019,15-00-001-C-C-000,P8510,Educación preprimaria,ESTATUTOS,Convenio Colaboración 24/09/2003 (BOPV 26/12/2003),24/09/2003
2019/01 situacion a  01/01/2019,15-00-000-B-U-003,Q8610,Actividades hospitalarias,LEY,"8/1997, 26-6 BO País Vasco nº 138 de 21/07/1997",01/01/1998
2019/01 situacion a  01/01/2019,15-00-000-X-P-009,H5229,Otras actividades anexas al transporte,ESTATUTOS,Esc. de const. de 27/07/1983 (Acuerdo 26/07/1983),27/07/1983
2019/01 situacion a  01/01/2019,15-20-005-C-C-000,M7022,Otras actividades de consultoría de gestión empresarial,ESTATUTOS,Escr. 14/02/2011 (Convenio Colab. BOPV 15/11/2010),14/02/2011
2019/01 situacion a  01/01/2019,15-00-000-X-P-100,P8552,Educación cultural,ESTATUTOS,"Esc. de cons. de 28/12/2001 (Dec. 360/2001, 18-12)",19/01/2002
2019/01 situacion a  01/01/2019,15-00-010-H-H-000,P8532,Educación secundaria técnica y profesional,ESTATUTOS,Escr. nº 498 de 22/2/1993 (R.F. 18/03/1994),18/03/1994
