version,codigo_ente,codigo,componente,porcentaje_participacion,porcentaje_voto,fuente_alta,inf_fuente_alta,alta_desde
2019/01 situacion a  01/01/2019,15-00-000-B-P-014,15-00-000-B-B-000,Comunidad Autónoma del País Vasco,"100,00","100,00",ESCRITURA,"de compra-venta 03/06/1988 (Dec. 132/1988, 24/05)",03/06/1988
2019/01 situacion a  01/01/2019,15-00-000-X-P-115,00-00-000-S-S-000,Estado (ADIF),"50,00","50,00",ESCRITURA,"de const. de 16/12/2010 (Dec. 273/2010, de 26/10)",08/02/2011
2019/01 situacion a  01/01/2019,15-00-000-X-P-115,15-00-000-B-B-000,Comunidad Autónoma del País Vasco,"25,00","25,00",ESCRITURA,"de const. de 16/12/2010 (Dec. 273/2010, de 26/10)",08/02/2011
2019/01 situacion a  01/01/2019,15-00-000-X-P-115,15-01-000-D-D-000,Diputación Foral de Alava,"10,00","10,00",ESCRITURA,"de const. de 16/12/2010 (Dec. 273/2010, de 26/10)",08/02/2011
2019/01 situacion a  01/01/2019,15-00-000-X-P-115,15-01-059-A-A-000,Vitoria-Gasteiz,"15,00","15,00",ESCRITURA,"de const. de 16/12/2010 (Dec. 273/2010, de 26/10)",08/02/2011
2019/01 situacion a  01/01/2019,15-00-000-X-P-041,00-00-000-S-S-000,Estado (ICAA),"25,00","25,00",ESCRITURA,"de const. de 20/12/1990 (Dec. 235/1990, de 11-09)",16/03/1991
2019/01 situacion a  01/01/2019,15-00-000-X-P-041,15-00-000-B-B-000,Comunidad Autónoma del País Vasco,"25,00","25,00",ESCRITURA,"de const. de 20/12/1990 (Dec. 235/1990, de 11-09)",16/03/1991
2019/01 situacion a  01/01/2019,15-00-000-X-P-041,15-20-000-D-D-000,Diputación Foral de Guipúzcoa,"25,00","25,00",ESCRITURA,"de const. de 20/12/1990 (Dec. 235/1990, de 11-09)",16/03/1991
2019/01 situacion a  01/01/2019,15-00-000-X-P-041,15-20-069-A-A-000,Donostia-San Sebastián,"25,00","25,00",ESCRITURA,"de const. de 20/12/1990 (Dec. 235/1990, de 11-09)",16/03/1991
2019/01 situacion a  01/01/2019,15-00-000-X-P-102,00-00-000-E-E-001,"Otras entidades de caracter local (Aytos. de Derio, Erandio, Loiu, Sondika y Zamudio)","25,00","25,00",ESCRITURA,"de const. de 03/10/2001 (Decreto 162/2001, 30-7)",24/10/2001
2019/01 situacion a  01/01/2019,15-00-000-X-P-102,00-00-000-F-F-000,"Privado (Bilbao Ganbera Gestión, S.A.)","30,00","30,00",ESCRITURA,"de const. de 03/10/2001 (Decreto 162/2001, 30-7)",24/10/2001
2019/01 situacion a  01/01/2019,15-00-000-X-P-102,15-00-000-B-B-000,Comunidad Autónoma del País Vasco,"25,00","25,00",ESCRITURA,"de const. de 03/10/2001 (Decreto 162/2001, 30-7)",24/10/2001
2019/01 situacion a  01/01/2019,15-00-000-X-P-102,15-48-000-D-D-000,Diputación Foral de Vizcaya,"20,00","20,00",ESCRITURA,"de const. de 03/10/2001 (Decreto 162/2001, 30-7)",24/10/2001
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,15-00-000-B-U-001,Euskal Irrati Telebista/Radiotelevisión Vasca (EITB),"100,00","100,00",ESCRITURA,"de const. de 04/11/1982 (Dec. 157/1982, 19-7)",04/11/1982
2019/01 situacion a  01/01/2019,15-00-000-B-P-006,15-00-000-B-B-000,Comunidad Autónoma del País Vasco,"100,00","100,00",ESCRITURA,"de const. de 21/09/1981 (Ley 5/1981, 10-06)",21/09/1981
2019/01 situacion a  01/01/2019,15-00-000-B-P-091,15-00-000-B-P-011,"Sprilur, S.A.","51,00","51,00",ESCRITURA,"de const. de 19/12/2000 (Dec. 126/2000, 04-07)",08/02/2001
2019/01 situacion a  01/01/2019,15-00-000-B-P-091,15-20-000-D-D-000,Diputación Foral de Guipúzcoa,"24,50","24,50",ESCRITURA,"de constit. de 19/12/2000 (Dec. 126/2000, 04-07)",08/02/2001
2019/01 situacion a  01/01/2019,15-00-000-B-P-091,15-20-063-A-A-000,Oiartzun,"24,50","24,50",ESCRITURA,"de constit. de 19/12/2000 (Dec. 126/2000, 04-07)",08/02/2001
2019/01 situacion a  01/01/2019,15-00-000-B-P-112,00-00-000-E-E-001,Otras entidades de caracter local (Varios ayuntamientos),"10,21","10,21",ESCRITURA,"Esc. de const. de 26/12/1985 (Dec. 373/1985, 10/12",26/12/1985
2019/01 situacion a  01/01/2019,15-00-000-B-P-112,15-00-000-B-P-006,"Sociedad para la Transformación Competitiva - Eraldaketa Lehiakorrerako Sozietatea, S.A. (SPRI)","53,23","53,23",ESCRITURA,"Esc. de const. de 26/12/1985 (Dec. 373/1985, 10/12",26/12/1985
