version,codigo_ente,total_miembros_patronado,n_patronos_designados_cccaa_o_unidades_dependientes,n_patronos_designados_adinistraciones_pub,n_patronos_sector_privado
2019/01 situacion a  01/01/2019,05-00-015-H-H-000,19,19,0,0
2019/01 situacion a  01/01/2019,05-35-002-H-H-000,6,3,3,0
2019/01 situacion a  01/01/2019,05-00-000-H-H-006,6,1,5,0
2019/01 situacion a  01/01/2019,05-00-009-H-H-000,87,2,25,60
2019/01 situacion a  01/01/2019,05-35-005-H-H-000,4,3,0,1
2019/01 situacion a  01/01/2019,05-00-018-H-H-000,30,3,22,5
2019/01 situacion a  01/01/2019,05-35-006-H-H-000,32,4,4,24
2019/01 situacion a  01/01/2019,05-00-016-H-H-000,18,0,17,1
2019/01 situacion a  01/01/2019,05-00-000-H-H-003,4,4,0,0
2019/01 situacion a  01/01/2019,05-00-008-H-H-000,9,9,0,0
2019/01 situacion a  01/01/2019,05-00-002-H-H-000,8,8,0,0
2019/01 situacion a  01/01/2019,05-00-013-H-H-000,8,4,3,1
2019/01 situacion a  01/01/2019,05-38-006-H-H-000,17,3,3,11
2019/01 situacion a  01/01/2019,05-00-000-H-H-005,12,12,0,0
2019/01 situacion a  01/01/2019,05-00-000-H-H-008,9,3,3,3
2019/01 situacion a  01/01/2019,05-00-006-H-H-000,5,5,0,0
2019/01 situacion a  01/01/2019,05-00-000-H-H-001,9,5,0,4
2019/01 situacion a  01/01/2019,05-00-014-H-H-000,4,4,0,0
2019/01 situacion a  01/01/2019,05-00-005-H-H-000,4,2,2,0
2019/01 situacion a  01/01/2019,07-09-003-H-H-000,33,6,26,1
2019/01 situacion a  01/01/2019,07-00-000-H-H-009,5,1,0,4
2019/01 situacion a  01/01/2019,07-24-006-N-N-000,9,3,0,6
2019/01 situacion a  01/01/2019,07-00-000-H-H-003,24,17,0,7
2019/01 situacion a  01/01/2019,07-00-000-H-H-011,9,7,2,0
2019/01 situacion a  01/01/2019,07-47-014-H-H-000,7,7,0,0
2019/01 situacion a  01/01/2019,07-42-001-H-H-000,9,3,6,0
2019/01 situacion a  01/01/2019,07-00-000-H-H-006,13,11,2,0
2019/01 situacion a  01/01/2019,07-00-001-H-H-000,12,4,0,8
2019/01 situacion a  01/01/2019,07-00-012-H-H-000,9,9,0,0
2019/01 situacion a  01/01/2019,07-00-000-H-H-002,38,17,4,17
2019/01 situacion a  01/01/2019,07-00-000-H-H-004,21,21,0,0
2019/01 situacion a  01/01/2019,07-47-011-H-H-000,17,11,4,2
2019/01 situacion a  01/01/2019,07-24-005-N-N-000,5,5,0,0
2019/01 situacion a  01/01/2019,07-47-002-H-H-000,10,10,0,0
2019/01 situacion a  01/01/2019,07-00-000-H-H-010,9,6,0,3
2019/01 situacion a  01/01/2019,07-00-000-H-H-008,8,8,0,0
2019/01 situacion a  01/01/2019,07-00-001-N-N-000,7,7,0,0
2019/01 situacion a  01/01/2019,07-00-000-H-H-007,24,8,7,9
2019/01 situacion a  01/01/2019,07-00-002-H-H-000,12,4,2,6
2019/01 situacion a  01/01/2019,07-00-006-H-H-000,11,2,0,9
2019/01 situacion a  01/01/2019,07-47-004-H-H-000,6,2,4,0
2019/01 situacion a  01/01/2019,07-09-002-H-H-000,5,5,0,0
2019/01 situacion a  01/01/2019,07-47-001-H-H-000,6,2,2,2
2019/01 situacion a  01/01/2019,07-47-013-H-H-000,15,8,3,4
2019/01 situacion a  01/01/2019,07-00-000-H-H-005,22,13,0,9
2019/01 situacion a  01/01/2019,07-37-005-H-H-000,9,7,0,2
2019/01 situacion a  01/01/2019,07-00-000-H-H-001,7,3,2,2
2019/01 situacion a  01/01/2019,07-47-010-H-H-000,5,5,0,0
2019/01 situacion a  01/01/2019,07-37-004-H-H-000,17,6,0,11
2019/01 situacion a  01/01/2019,15-20-005-H-H-000,20,11,4,5
2019/01 situacion a  01/01/2019,15-20-015-H-H-000,9,2,7,0
2019/01 situacion a  01/01/2019,15-00-013-H-H-000,6,6,0,0
