version,codigo_ente,nombre,fuente_alta,inf_fuente_alta,fuente_baja,inf_fuente_baja,alta_desde,baja_desde
2016/02 situacion a 01/07/2016,09-00-000-F-P-069,"Societat Estiba dels Ports Catalans, SA (ESTICAT)",ESCRITURA,reducc. C.S. nº1525 de 18/09/2012 (RM 28/12/2012),,,28/12/2012,
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,Societat Catalana de Capital a Risc SA,ESCRITURA,de constitución de 12/02/1986,ESCRITURA,cambio denominación social (RM 10/03/1994),12/02/1986,09/03/1994
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,Catalana D'Iniciatives CR SA,ESCRITURA,cambio denominación social (RM 10/03/1994),ESCRITURA,cambio denominación social (RM 29/11/2002),10/03/1994,28/11/2002
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,Catalana D'Iniciatives S C R SA,ESCRITURA,cambio denominación social (RM 29/11/2002),ESCRITURA,cambio denominación social (RM 31/10/2013),29/11/2002,30/10/2013
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,Catalana D'Iniciatives SA,ESCRITURA,cambio denominación social (RM 31/10/2013),,,31/10/2013,
2016/02 situacion a  01/07/2016,09-00-005-H-H-000,F. Privada Salut del Consorci Sanitari del Maresme,ESCRITURA,nº 768 de 17/07/2000 (RF 18/09/2000),,,18/09/2000,
2016/02 situacion a  01/07/2016,09-08-161-H-H-000,Fundació Privada per a l'Escola Superior de Música de Catalunya,ESCRITURA,nº4553 de 20/11/2000 (RF 27/02/2001),,,27/02/2001,
2016/02 situacion a  01/07/2016,09-00-007-H-H-000,Fundació Parc Taulí,ESCRITURA,nº 227 de 25/01/1993 (RF 21/05/1993),,,21/05/1993,
2016/02 situacion a  01/07/2016,09-00-031-H-H-000,Fundació Privada BioRegió de Catalunya,ESCRITURA,nº 624 de 14/02/2006,ESCRITURA,nº4666 de 12/12/2012 (RF 19/06/2013),21/11/2006,18/06/2013
2016/02 situacion a  01/07/2016,09-00-031-H-H-000,"Biocat, la Fundació BioRegió de Catalunya",ESCRITURA,nº4666 de 12/12/2012 (RF 19/06/2013),,,19/06/2013,
2016/02 situacion a  01/07/2016,09-08-166-H-H-000,"Institut Català de paleontologia, Fundació Privada ( ICP )",ESCRITURA,nº 3214 de 22/11/2006 (RF 22/01/2008),ESCRITURA,nº 301 de 16/02/2012 (RF 20/03/2012),22/01/2008,19/03/2012
2016/02 situacion a  01/07/2016,09-08-166-H-H-000,Fundació Institut Català de Paleontologia Miquel Crusafont (ICP Miquel Crusafont),ESCRITURA,nº 301 de 16/02/2012 (RF 20/03/2012),,,20/03/2012,
2016/02 situacion a  01/07/2016,09-08-177-H-H-000,"Fundació Privada I2CAT, Internet i Innovació Digital a Catalunya",ESCRITURA,nº 1809 de 22/09/2003 (RF 14/10/2003),,,14/10/2003,
2016/02 situacion a  01/07/2016,09-25-026-H-H-000,F. Priv. de Interés Gral. Commemoración del 700 Aniversario de la Inst,ESCRITURA,nº1037 de 12/06/1996 (RF 26/11/1996),ESCRITURA,nº810 de 28/06/2011,26/11/1996,27/06/2011
2016/02 situacion a  01/07/2016,09-25-026-H-H-000,Fundació Universitat de Lleida,ESCRITURA,nº810 de 28/06/2011,,,28/06/2011,
2016/02 situacion a  01/07/2016,09-00-061-H-H-000,Fundació Barcelona Mobile World Capital Foundation,ESCRITURA,nº 597 de 13/03/2012 (RF 29/03/2012),,,29/03/2012,
2016/02 situacion a  01/07/2016,09-00-014-H-H-000,Fundación IMIN,ESCRITURA,nº493 de 10/03/1992,ESCRITURA,nº257 de 08/02/2011 (RF 04/04/2011),18/10/1993,03/04/2011
2016/02 situacion a  01/07/2016,09-00-014-H-H-000,Fundació Institut Mar d'Investigacions Mèdiques (IMIM),ESCRITURA,nº257 de 08/02/2011 (RF 04/04/2011),,,04/04/2011,
2016/02 situacion a  01/07/2016,09-25-022-H-H-000,Fundació Privada del Món Rural,ESCRITURA,nº2818 de 25/07/2005 (RF 15/03/2007),,,15/03/2007,
2016/02 situacion a  01/07/2016,09-08-159-H-H-000,Fundació Privada Centre de Recerca en Epidemiologia Ambiental (CREAL),ESCRITURA,nº 3308 de 19/12/2005 (RF 2210 DE 14/06/2006),,,14/06/2006,
2016/02 situacion a  01/07/2016,09-08-156-H-H-000,Fundació Privada Institut Català de Nanotecnologia ( ICN ),ESCRITURA,nº 1839 de 11/07/2003 (RF 26/02/2004),ESCRITURA,nº 1134 de 31/05/2013 (RF 13/01/2014),26/02/2004,12/01/2014
2016/02 situacion a  01/07/2016,09-08-156-H-H-000,Fundació Institut Català de Nanociència i Nanotecnologia (ICN2),ESCRITURA,nº 1134 de 31/05/2013 (RF 13/01/2014),,,13/01/2014,
2016/02 situacion a  01/07/2016,09-08-181-H-H-000,Fundación d'Economia Analítica,ESCRITURA,nº879 de 06/03/1990 (RF 23/10/1990),ESCRITURA,nº2454 de 20/07/2004 (RF 17/11/2004),23/10/1990,16/11/2004
2016/02 situacion a  01/07/2016,09-08-181-H-H-000,Fundación Privada de Economía Analítica,ESCRITURA,nº2454 de 20/07/2004 (RF 17/11/2004),ESCRITURA,nº1065 de 27/12/2012 (RF 12/07/2013),17/11/2004,11/07/2013
2016/02 situacion a  01/07/2016,09-08-181-H-H-000,Fundació d'Economia Analítica,ESCRITURA,nº1065 de 27/12/2012 (RF 12/07/2013),,,12/07/2013,
