version,codigo_ente,nombre,fuente_alta,inf_fuente_alta,fuente_baja,inf_fuente_baja,alta_desde,baja_desde
2016/02 situacion a 01/07/2016,09-00-000-F-P-069,"121.726,54",ESCRITURA,reducc. C.S. nº1525 de 18/09/2012 (RM 28/12/2012),,,28/12/2012,
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,"24.040.484,00",ESCRITURA,de constitución de 12/02/1986,ESCRITURA,ampliación CS (RM 13/07/1990),12/02/1986,12/07/1990
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,"11.780.438,25",ESCRITURA,ampliación CS (RM 13/07/1990),ESCRITURA,ampliación CS (RM 14/05/1993),13/07/1990,13/05/1993
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,"13.027.538,37",ESCRITURA,ampliación CS (RM 14/05/1993),ESCRITURA,nº 4036 de 21/10/1993 (ampliación CS y Fusión),14/05/1993,09/03/1994
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,"30.050.605,22",ESCRITURA,nº 4036 de 21/10/1993 (ampliación CS y Fusión),ESCRITURA,reducción CS (RM 26/10/1998) (Escisión impropia),10/03/1994,25/10/1998
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,"24.040.484,17",ESCRITURA,reducción CS (RM 26/10/1998) (Escisión impropia),ESCRITURA,reducc. y ampliac CS (RM 14/03/2002),26/10/1998,13/03/2002
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,"30.862.800,00",ESCRITURA,reducc. y ampliac CS (RM 14/03/2002),ESCRITURA,ampliación CS (RM 26/01/2011),14/03/2002,25/01/2011
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,"41.532.000,00",ESCRITURA,ampliación CS (RM 26/01/2011),ESCRITURA,reducción CS (RM 10/12/2012),26/01/2011,09/12/2012
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,"8.306.400,00",ESCRITURA,reducción CS (RM 10/12/2012),ESCRITURA,reducción CS (RM 31/10/2013),10/12/2012,30/10/2013
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,"1.384.400,00",ESCRITURA,reducción CS (RM 31/10/2013),,,31/10/2013,
2016/02 situacion a  01/07/2016,50 -00-006-H-H-000,Fundació Triangle Jove,ESCRITURA,2228 de 06/10/2008 (RF 08/9/2009; BOE 10/11/09),,,08/10/2009,
2016/02 situacion a  01/07/2016,50 -00-013-H-H-000,F. Universitaria para la Cooperación Internacional (FUCI),ESCRITURA,nº 1449 de 29/05/2000 (RF nº 704 de 22/10/2003),,,22/10/2003,
2016/02 situacion a  01/07/2016,50 -00-005-H-H-000,F. Privada Triptólemos para el Desarrollo Agroalimentario,ESCRITURA,nº 373 de 12/02/2002,,,13/04/2005,
2016/02 situacion a  01/07/2016,50 -00-001-H-H-000,Fundación Univespaña,ESCRITURA,de 23/10/1999 (O. 30/12/99 BOE 1/02/2000),,,30/12/1999,
2016/02 situacion a  01/07/2016,50 -00-012-H-H-000,Fundación Consejo España-China,ESCRITURA,"de constitución nº 921, 12/05/2004",,,12/05/2004,
2016/02 situacion a  01/07/2016,09-00-000-X-P-066,"600.000,00",ESCRITURA,"PTO/2954/2003, 17-9; DOGC 3983",,,02/02/2004,
2016/02 situacion a  01/07/2016,09-00-000-X-P-085,"91.000,00",ESCRITURA,nº1216 de 14/07/2009 (RM 17/09/2009),,,17/09/2009,
2016/02 situacion a  01/07/2016,09-00-000-X-P-072,"745.255,00",ESCRITURA,nº 1485 de 09/03/1994 (RM 29/06/1994),ESCRITURA,nº563 12/04/95 (RM 12/04/1995),29/06/1994,12/04/1995
2016/02 situacion a  01/07/2016,09-00-000-X-P-072,"829.396,70",ESCRITURA,nº563 12/04/95 (RM 12/04/1995),ESCRITURA,nº 475 de 28/03/1996 (RM 03/06/1996),13/04/1995,03/06/1996
2016/02 situacion a  01/07/2016,09-00-000-X-P-072,"901.518,15",ESCRITURA,nº 475 de 28/03/1996 (RM 03/06/1996),ESCRITURA,nº 384 de 20/03/2015 (RM 29/04/2015),04/06/1996,28/04/2015
2016/02 situacion a  01/07/2016,09-00-000-X-P-072,"661.515,00",ESCRITURA,nº 384 de 20/03/2015 (RM 29/04/2015),,,29/04/2015,
2016/02 situacion a  01/07/2016,09-00-000-X-P-082,"4.000,00",ESCRITURA,nº 1627 de 01/07/2005 (RM 22/07/2005),,,22/07/2005,
2016/02 situacion a  01/07/2016,09-00-000-X-P-083,"10.000,00",ESCRITURA,de constitución 21/09/2010 (RM 10/11/2010),,,10/11/2010,
2016/02 situacion a  01/07/2016,09-00-000-X-P-076,"12.020,24",ESCRITURA,nº3485 de 27/07/1993 (RM 22/10/1993),ESCRITURA,nº1398 de 28/03/1995 (RM 18/05/1995),22/10/1993,17/05/1995
2016/02 situacion a  01/07/2016,09-00-000-X-P-076,"60.101,21",ESCRITURA,nº1398 de 28/03/1995 (RM 18/05/1995),ESCRITURA,nº3033 de 29/12/2006 (RM 25/01/2007),18/05/1995,24/01/2007
2016/02 situacion a  01/07/2016,09-00-000-X-P-076,"601.012,10",ESCRITURA,nº3033 de 29/12/2006 (RM 25/01/2007),,,25/01/2007,
